,0,1
1121,534737,57471
1123,173557,232986
1124,133866,60978
1125,133866,48604
1126,60978,48604
1127,45095,37910
1128,45095,181339
1129,45095,63978
1130,37910,181339
1131,37910,63978
1132,181339,63978
1137,110844,110154
1138,9707,36112
1139,9707,618095
1140,9707,302458
1141,9707,96155
1142,9707,13879
1143,36112,618095
1144,36112,302458
1145,36112,96155
1146,36112,13879
1147,618095,302458
1148,618095,96155
1149,618095,13879
1150,302458,96155
1151,302458,13879
1152,96155,13879
1153,144758,164246
1154,188504,284475
1155,38514,221653
1156,112786,221030
1159,137540,96954
1163,3329552,3232614
1165,45044,46281
1166,1097157,191242
1171,5648,39908
1182,26246,190329
1183,26246,184674
1184,190329,184674
1188,44958,1611895
1197,28104,1153964
1202,50997,166308
1204,37197,80040
1205,132084,722712
1206,215993,65049
1210,4848,772340
1213,175154,1059062
1216,175089,90013
1217,80569,173280
1219,320851,431810
1226,1218066,1215399
1227,13876,53485
1228,13876,34335
1229,53485,34335
1230,988770,215993
1231,185848,143896
1232,185848,231900
1233,143896,231900
1234,39908,105456
1235,39908,14753
1236,105456,14753
1237,50514,93616
1238,50514,11152
1239,93616,11152
1242,220580,242695
1243,220580,250604
1244,242695,250604
1245,130964,232451
1246,214299,192683
1247,410449,611732
1248,63774,62571
1249,107769,36100
1250,107769,211036
1251,36100,211036
1252,198567,178698
1253,198567,297092
1254,198567,297093
1255,178698,297092
1256,178698,297093
1257,297092,297093
1258,177091,216408
1259,208076,133869
1260,208076,1034178
1261,133869,1034178
1262,132084,78349
1266,133866,823874
1269,167209,302446
1270,167209,179335
1271,302446,179335
1272,180993,197812
1273,180993,133869
1274,197812,133869
1278,343355,186837
1281,26592,26713
1282,26592,14742
1283,26713,14742
1284,35746,116237
1285,130532,43011
1291,38561,9741
1298,988770,1479204
1300,65048,124892
1307,50997,9741
1312,298137,81056
1313,193558,184474
1314,233184,137602
1315,233184,120307
1316,137602,120307
1317,231095,110844
1318,13733,35125
1319,1093094,137880
1320,1093094,14014
1321,137880,14014
1324,46282,149094
1328,50677,223696
1340,1283971,1546718
1341,132084,209294
1342,132084,209294
1354,43011,14488
1355,43011,50514
1356,43011,98629
1357,43011,219213
1358,43011,23045
1359,43011,257884
1360,43011,112737
1361,43011,17594
1362,43011,35746
1363,43011,159342
1364,14488,50514
1365,14488,98629
1366,14488,219213
1367,14488,23045
1368,14488,257884
1369,14488,112737
1370,14488,17594
1371,14488,35746
1372,14488,159342
1373,50514,98629
1374,50514,219213
1375,50514,23045
1376,50514,257884
1377,50514,112737
1378,50514,17594
1379,50514,35746
1380,50514,159342
1381,98629,219213
1382,98629,23045
1383,98629,257884
1384,98629,112737
1385,98629,17594
1386,98629,35746
1387,98629,159342
1388,219213,23045
1389,219213,257884
1390,219213,112737
1391,219213,17594
1392,219213,35746
1393,219213,159342
1394,23045,257884
1395,23045,112737
1396,23045,17594
1397,23045,35746
1398,23045,159342
1399,257884,112737
1400,257884,17594
1401,257884,35746
1402,257884,159342
1403,112737,17594
1404,112737,35746
1405,112737,159342
1406,17594,35746
1407,17594,159342
1408,35746,159342
1409,47512,144910
1410,47512,113467
1411,144910,113467
1421,614963,4061019
1425,32296,57508
1434,1546718,715813
1436,1746110,1633080
1438,204817,38661
1439,187964,40445
1440,187964,32446
1441,187964,22910
1442,40445,32446
1443,40445,22910
1444,32446,22910
1451,1439270,3678583
1454,62134,75187
1456,1357841,109335
1457,143557,39376
1462,48506,1229163
1467,212142,205201
1468,212142,331629
1469,212142,122418
1470,205201,122418
1471,331629,122418
1474,16508,150554
1475,476414,186449
1478,6953,48354
1479,1226949,1116086
1483,406165,35848
1484,37906,110844
1485,37906,90037
1486,110844,90037
1487,76242,51352
1488,76242,108856
1489,51352,108856
1490,36099,150781
1491,97139,120307
1492,97139,36100
1493,120307,36100
1494,41922,37906
1496,158786,8285
1497,76894,45746
1498,2048827,65049
1499,669039,72461
1500,28738,14560
1501,138038,109832
1502,420349,36100
1503,39455,51368
1504,239305,120307
1505,209479,120307
1506,374226,382934
1507,1525173,134987
1508,220580,382934
1509,910493,245385
1513,487029,120307
1515,62571,100751
1516,1264567,229665
1517,1264567,382934
1518,229665,382934
1519,231481,37908
1520,445619,480659
1521,133768,885654
1522,331629,284475
1523,76242,37908
1524,181022,51368
1525,181022,313773
1526,51368,313773
1531,137204,214299
1532,137204,192718
1533,214299,192718
1536,494714,295997
1537,137604,2155220
1538,209479,210528
1539,209479,137602
1540,210528,137602
1541,51988,929836
1542,703922,186264
1543,1637106,33815
1544,173998,54813
1551,481481,173497
1553,16655,41279
1555,16655,108790
1557,41279,108790
1559,136271,1382520
1572,13247,4091
1585,59769,51271
1593,2202,58554
1595,2202,26931
1597,58554,26931
1599,58554,186837
1600,231775,216149
1602,14480,14484
1605,5953,69273
1606,5953,12627
1607,69273,12627
1608,18684,31715
1609,76073,209748
1614,382934,494714
1615,187278,123984
1616,10991,150433
1617,36100,614963
1618,36100,1502171
1620,614963,1502171
1626,229665,38661
1627,37906,10995
1628,180140,383281
1634,97515,51368
1635,39833,10991
1636,57770,122418
1637,57770,180140
1638,122418,180140
1639,21742,38661
1641,12469,53527
1644,133237,51978
1647,111523,246441
1649,97139,1615988
1653,144758,164246
1654,14480,14484
1662,17900,14753
1663,17900,66417
1664,14753,66417
1665,988770,1884031
1668,106752,106753
1671,37253,83004
1673,5083440,2669923
1678,21742,180140
1679,21742,137880
1680,21742,1065010
1681,180140,137880
1682,180140,1065010
1683,137880,1065010
1688,3763,38661
1689,3763,108184
1690,3763,40792
1691,38661,40792
1692,108184,40792
1701,206826,35125
1715,227110,194507
1716,89618,105450
1723,198544,206695
1724,420353,95080
1725,1539607,382934
1726,1539607,1043043
1727,382934,1043043
1728,209748,137880
1731,89866,59048
1732,50200,268611
1735,39838,14743
