V1,V2
216095,2168005
189118,316464
2020073,2824611
34567,14742
261612,165375
205201,6254568
205201,51267
6254568,51267
2020073,205201
4365498,79733
166190,105456
14725,39655
112737,132084
112737,9741
132084,9741
347352,347353
21910,14484
285211,285212
99024,414628
249787,41263
16655,41279
49074,40065
211529,13732
151965,188222
21125,69210
45241,1126121
218772,261594
50997,209748
100752,100756
3732303,3732302
1131908,51368
1716,26942
137906,77180
5682,53249
1333883,5682
1333883,31715
5682,31715
106720,48354
106720,21128
106720,5682
48354,21128
48354,5682
21128,5682
64692,5491
124642,4967670
4026602,5106089
1217456,1195579
396762,1195579
2959589,1443688
2811293,1415043
1722220,75253
988770,58593
1668782,2130201
173096,3862
1329808,1329809
1329808,277172
1329809,277172
1708935,1134613
4129661,210875
4189174,1555518
125772,237971
2226573,1527592
2226573,1479204
1527592,1479204
278269,601919
1019691,1019690
212995,578379
169198,202729
169198,681215
202729,681215
113497,76911
107386,48435
280244,257721
44958,1611895
50128,100938
50128,78643
100938,78643
1580768,135053
137602,548094
10991,217492
10991,128173
217492,128173
155201,272604
430169,56575
82068,27658
82068,35025
27658,35025
218290,45095
1479965,2467996
2741992,724208
358324,793280
647226,218386
1249878,1647277
369196,369197
1095022,3887149
3357219,4101875
4242623,1088968
4982995,2615652
1095022,2130241
85940,393043
85940,4475566
85940,3191113
393043,4475566
393043,3191113
4475566,3191113
1762938,1095022
37198,80040
37198,492745
80040,492745
132084,90037
132084,115941
90037,115941
236033,25777
151357,164236
80105,221030
151357,80105
4654,49294
316512,1393450
219213,14481
169706,344415
169706,5596417
344415,5596417
1935092,1079116
58435,62130
69200,13869
81206,166190
62148,120236
2302605,2302607
1248483,935428
747767,37906
747767,324866
37906,324866
118648,65080
100292,1777845
100292,986989
1777845,986989
279843,279844
22935,198518
22935,242071
198518,242071
25495,390896
186902,257898
263630,190073
169065,205276
2311235,197407
1461629,150554
2880193,2880194
2311235,1513490
169065,179317
106719,122129
550039,776810
62134,75187
82909,216420
50514,172841
1546285,2936430
2880193,2880194
2936430,1585029
320851,1409603
271694,299561
271694,651696
299561,651696
142045,1752774
3403435,113643
3408764,4682301
3036981,679338
3403435,474124
1595698,2936430
197644,488605
51158,184573
3131598,4375604
4360326,3274288
2834521,3141322
2834527,2834539
170472,44958
5604979,6234659
510730,217142
4202743,3848663
85940,1063881
5324297,2390176
3231811,3187683
57509,80200
261565,885942
1156906,1058254
28579,18123
25775,125912
25775,187475
125912,187475
25141,65168
50200,175184
107751,328931
13727,51988
53336,100261
14014,108618
215993,17594
132944,1663901
182846,241662
182846,2367059
241662,2367059
19699,8993
1022985,99663
194277,183878
134880,172043
235174,16659
189124,189123
467546,582244
467546,402609
467546,677706
582244,402609
582244,677706
402609,677706
144357,195891
137532,44392
477401,704936
477401,670983
704936,670983
99664,220528
190137,188758
100756,116227
31751,97658
60978,50997
95002,109832
95002,33534
95002,18342
109832,33534
109832,18342
33534,18342
95002,18342
95002,109832
95002,66154
18342,109832
18342,66154
109832,66154
14295,27811
14295,209156
27811,209156
231775,216149
1217320,59048
871457,341770
14646,1401484
908961,1985008
186837,93616
447032,341770
419677,2282960
1272632,1332235
1272632,1332231
1332235,1332231
99172,506739
341770,3285914
341770,4126904
3285914,4126904
2772887,1902929
324883,301152
99384,50430
64229,193060
64229,419323
193060,419323
81109,28209
25495,390896
692467,295231
692467,234359
295231,234359
908961,4589448
908961,3473643
4589448,3473643
908961,2108388
215993,40445
209690,2106209
209690,21742
2106209,21742
1445,198108
25495,390896
1203457,2385844
26445,82785
422282,186449
53529,47076
90013,57509
90013,175252
57509,175252
57509,64774
57509,57800
57509,44360
57509,157232
44360,157232
43174,169601
17477,612360
17477,30674
82947,64774
82947,53529
64774,53529
50514,7708
50514,93780
50514,29058
7708,93780
7708,29058
93780,29058
189635,100558
189635,25495
100558,25495
39829,11213
65081,14017
22877,126433
242480,269844
20590,19701
20590,21918
19701,21918
100276,110156
100276,255041
100276,38256
100276,249861
110156,255041
110156,38256
110156,249861
255041,38256
255041,249861
38256,249861
34215,102819
58708,14753
58708,31712
58708,125912
14753,31712
14753,125912
31712,125912
50514,25654
50514,363277
50514,46333
25654,363277
25654,46333
363277,46333
24211,35333
24211,57979
35333,57979
25058,187204
24205,65081
24205,310129
65081,310129
4818,353733
4818,5648
4818,39908
353733,5648
353733,39908
5648,39908
5648,12470
5648,25777
12470,25777
65048,29059
223679,735980
26936,66817
159342,21291
40065,49074
5090,10090
369500,65081
44392,13873
17905,18684
17905,5649
18684,5649
51158,98207
476414,186837
91533,217149
3263,110156
3263,582883
110156,582883
120527,17900
1107018,1131052
45047,50514
212137,117239
10818,16575
10818,11910
16575,11910
775889,1047641
5455,37863
353733,42157
44399,109335
44399,39908
44399,5648
109335,39908
109335,5648
39908,5648
2904626,19112
2904626,85389
2904626,3155
19112,85389
19112,3155
85389,3155
208442,99172
97633,3492848
22879,3945599
22879,162352
3945599,162352
97633,4162060
21144,401289
57509,64774
57509,301152
57509,103268
57509,3782412
103268,3782412
227408,1686320
1152705,567941
1152705,1026513
567941,1026513
59872,715813
151213,151214
5022386,272562
5022386,31275
272562,31275
2218121,227626
148199,201124
39954,19414
20590,19701
20590,21918
19701,21918
303144,105348
108620,77180
108620,196988
77180,196988
1681068,241983
38561,57770
242376,3246321
250273,253960
209690,331528
2497926,2497925
567169,567172
567169,567171
567172,567171
2874067,1142078
703660,252885
3948656,3948655
937004,4368893
1629999,4480529
1629999,5313322
4480529,5313322
195526,225690
38256,213334
133456,139777
1116086,1226949
2360712,205420
52378,6578132
188694,210875
39908,16508
37908,109832
216420,820862
257267,46333
137880,9557
108722,132084
50513,112738
50513,4970
112738,4970
1479204,215610
38661,204817
197311,3227496
9965,2671999
267935,137880
476414,820862
1262687,169508
3642705,2633264
134438,169508
383281,676828
2748904,374448
2748904,2726980
374448,2726980
747767,21742
383281,37908
215993,44958
80569,245421
